dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	worst	31	316	kmer	1290853722	1303926613	1291055906
ngono-spneumo	worst	31	316	uniqrow	50569876	50910687	50589766
ngono-spneumo	worst	31	316	unitig	76371346	76977117	76394224
ngono-spneumo	worst	31	32	kmer	114353379	127426270	115317330
ngono-spneumo	worst	31	32	uniqrow	4635123	4975934	4699890
ngono-spneumo	worst	31	32	unitig	6878690	7484461	6949494
ngono-spneumo	worst	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	worst	31	3	uniqrow	244512	585323	382452
ngono-spneumo	worst	31	3	unitig	351180	956951	574392
ngono	nj-attotree	31	1000	kmer	41342493	45459556	41356926
ngono	nj-attotree	31	1000	uniqrow	3485558	3584347	3486790
ngono	nj-attotree	31	1000	unitig	3996346	4176888	3997822
ngono	nj-attotree	31	100	kmer	8555791	12672854	8566296
ngono	nj-attotree	31	100	uniqrow	627317	726106	628844
ngono	nj-attotree	31	100	unitig	718916	899458	720672
ngono	nj-attotree	31	10	kmer	1458045	5575108	1911350
ngono	nj-attotree	31	10	uniqrow	93647	192436	117004
ngono	nj-attotree	31	10	unitig	107849	288391	135224
ngono	nj-attotree	31	1	kmer	0	4117063	0
ngono	nj-attotree	31	1	uniqrow	0	98789	0
ngono	nj-attotree	31	1	unitig	0	180542	0
ngono	nj-attotree	31	316	kmer	19379513	23496576	19390018
ngono	nj-attotree	31	316	uniqrow	1498839	1597628	1500366
ngono	nj-attotree	31	316	unitig	1716014	1896556	1717770
ngono	nj-attotree	31	32	kmer	4861965	8979028	4887778
ngono	nj-attotree	31	32	uniqrow	318390	417179	321332
ngono	nj-attotree	31	32	unitig	365196	545738	368556
ngono	nj-attotree	31	3	kmer	682616	4799679	1088710
ngono	nj-attotree	31	3	uniqrow	42965	141754	67132
ngono	nj-attotree	31	3	unitig	48539	229081	76020
ngono	nj-hamming	31	1000	kmer	41355705	45472768	41388862
ngono	nj-hamming	31	1000	uniqrow	3385119	3483908	3386910
ngono	nj-hamming	31	1000	unitig	3905442	4085984	3909280
ngono	nj-hamming	31	100	kmer	8571418	12688481	8602896
ngono	nj-hamming	31	100	uniqrow	621470	720259	623880
ngono	nj-hamming	31	100	unitig	724395	904937	726142
ngono	nj-hamming	31	10	kmer	1645150	5762213	1936392
ngono	nj-hamming	31	10	uniqrow	93647	192436	117004
ngono	nj-hamming	31	10	unitig	115162	295704	137634
ngono	nj-hamming	31	1	kmer	0	4117063	0
ngono	nj-hamming	31	1	uniqrow	0	98789	0
ngono	nj-hamming	31	1	unitig	0	180542	0
ngono	nj-hamming	31	316	kmer	19394019	23511082	19430868
ngono	nj-hamming	31	316	uniqrow	1430520	1529309	1434024
ngono	nj-hamming	31	316	unitig	1662055	1842597	1666978
ngono	nj-hamming	31	32	kmer	4855267	8972330	4881080
ngono	nj-hamming	31	32	uniqrow	290815	389604	312304
ngono	nj-hamming	31	32	unitig	338506	519048	362884
ngono	nj-hamming	31	3	kmer	682616	4799679	1088710
ngono	nj-hamming	31	3	uniqrow	42965	141754	67132
ngono	nj-hamming	31	3	unitig	48539	229081	76020
ngono	optimal	31	1000	kmer	37117019	41234082	37614732
ngono	optimal	31	1000	uniqrow	3095976	3194765	3119838
ngono	optimal	31	1000	unitig	3574490	3755032	3603354
ngono	optimal	31	100	kmer	7613952	11731015	8099110
ngono	optimal	31	100	uniqrow	562330	661119	586952
ngono	optimal	31	100	unitig	647746	828288	676660
ngono	optimal	31	10	kmer	1448996	5566059	1904268
ngono	optimal	31	10	uniqrow	92170	190959	116540
ngono	optimal	31	10	unitig	106292	286834	134502
ngono	optimal	31	1	kmer	0	4117063	0
ngono	optimal	31	1	uniqrow	0	98789	0
ngono	optimal	31	1	unitig	0	180542	0
ngono	optimal	31	316	kmer	17187115	21304178	17680408
ngono	optimal	31	316	uniqrow	1331994	1430783	1355512
ngono	optimal	31	316	unitig	1534804	1715346	1563164
ngono	optimal	31	32	kmer	4048126	8165189	4485788
ngono	optimal	31	32	uniqrow	278829	377618	302612
ngono	optimal	31	32	unitig	318826	499368	347380
ngono	optimal	31	3	kmer	682616	4799679	1088710
ngono	optimal	31	3	uniqrow	42965	141754	67132
ngono	optimal	31	3	unitig	48539	229081	76020
ngono	randomized	31	1000	kmer	279057845	283174908	279461418
ngono	randomized	31	1000	uniqrow	17495277	17594066	17516998
ngono	randomized	31	1000	unitig	20043254	20223796	20068854
ngono	randomized	31	100	kmer	26686752	30803815	27047204
ngono	randomized	31	100	uniqrow	1707604	1806393	1729398
ngono	randomized	31	100	unitig	1954415	2134957	1979390
ngono	randomized	31	10	kmer	2287732	6404795	2684442
ngono	randomized	31	10	uniqrow	143774	242563	167000
ngono	randomized	31	10	unitig	164510	345052	190998
ngono	randomized	31	1	kmer	0	4117063	0
ngono	randomized	31	1	uniqrow	0	98789	0
ngono	randomized	31	1	unitig	0	180542	0
ngono	randomized	31	316	kmer	88926220	93043283	89229948
ngono	randomized	31	316	uniqrow	5533217	5632006	5551402
ngono	randomized	31	316	unitig	6348439	6528981	6369810
ngono	randomized	31	32	kmer	9330551	13447614	9711236
ngono	randomized	31	32	uniqrow	574692	673481	597854
ngono	randomized	31	32	unitig	657201	837743	683604
ngono	randomized	31	3	kmer	692000	4809063	1088710
ngono	randomized	31	3	uniqrow	43906	142695	67132
ngono	randomized	31	3	unitig	49532	230074	76020
ngono	upgma-attotree	31	1000	kmer	42730845	46847908	43129072
ngono	upgma-attotree	31	1000	uniqrow	3539586	3638375	3563276
