dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	worst	31	10	uniqrow	246268	1697474	247776
diverse	worst	31	10	unitig	1639457	35999602	1654004
diverse	worst	31	158	kmer	1294625277	4303693020	1297015292
diverse	worst	31	158	uniqrow	4500112	5951318	4500676
diverse	worst	31	158	unitig	29574120	63934265	29577354
diverse	worst	31	16	kmer	142242644	3151310387	147571052
diverse	worst	31	16	uniqrow	444542	1895748	446050
diverse	worst	31	16	unitig	3112363	37472508	3126910
diverse	worst	31	1	kmer	0	3009067743	0
diverse	worst	31	1	uniqrow	0	1451206	0
diverse	worst	31	1	unitig	0	34360145	0
diverse	worst	31	251	kmer	2049857873	5058925616	2051988134
diverse	worst	31	251	uniqrow	7344099	8795305	7344552
diverse	worst	31	251	unitig	49266102	83626247	49269336
diverse	worst	31	25	kmer	223597485	3232665228	227241568
diverse	worst	31	25	uniqrow	685287	2136493	686096
diverse	worst	31	25	unitig	5123316	39483461	5132030
diverse	worst	31	2	kmer	6545478	3015613221	13090956
diverse	worst	31	2	uniqrow	64094	1515300	128188
diverse	worst	31	2	unitig	379326	34739471	758652
diverse	worst	31	398	kmer	3173231359	6182299102	3174937990
diverse	worst	31	398	uniqrow	10756615	12207821	10757068
diverse	worst	31	398	unitig	72832121	107192266	72834532
diverse	worst	31	3	kmer	15313609	3024381352	21029518
diverse	worst	31	3	uniqrow	128414	1579620	129988
diverse	worst	31	3	unitig	764608	35124753	816542
diverse	worst	31	40	kmer	341374823	3350442566	345018906
diverse	worst	31	40	uniqrow	1138085	2589291	1139126
diverse	worst	31	40	unitig	7872862	42233007	7877796
diverse	worst	31	4	kmer	24041245	3033108988	29757154
diverse	worst	31	4	uniqrow	130166	1581372	131674
diverse	worst	31	4	unitig	800735	35160880	830892
diverse	worst	31	631	kmer	5138325293	8147393036	5139953350
diverse	worst	31	631	uniqrow	17037142	18488348	17037404
diverse	worst	31	631	unitig	119410747	153770892	119412854
diverse	worst	31	63	kmer	515306075	3524373818	518159692
diverse	worst	31	63	uniqrow	1695810	3147016	1696868
diverse	worst	31	63	unitig	11526345	45886490	11530592
diverse	worst	31	6	kmer	40494774	3049562517	45901090
diverse	worst	31	6	uniqrow	137364	1588570	138872
diverse	worst	31	6	unitig	878783	35238928	901836
ngono-spneumo	nj-attotree	31	1000	kmer	123501239	136574130	123506980
ngono-spneumo	nj-attotree	31	1000	uniqrow	7952643	8293454	7953200
ngono-spneumo	nj-attotree	31	1000	unitig	9546324	10152095	9546990
ngono-spneumo	nj-attotree	31	100	kmer	41029934	54102825	42090858
ngono-spneumo	nj-attotree	31	100	uniqrow	2356444	2697255	2424206
ngono-spneumo	nj-attotree	31	100	unitig	2896581	3502352	2975848
ngono-spneumo	nj-attotree	31	10	kmer	13225623	26298514	14350536
ngono-spneumo	nj-attotree	31	10	uniqrow	597941	938752	669900
ngono-spneumo	nj-attotree	31	10	unitig	827139	1432910	912022
ngono-spneumo	nj-attotree	31	158	kmer	54846426	67919317	55860876
ngono-spneumo	nj-attotree	31	158	uniqrow	3227581	3568392	3291440
ngono-spneumo	nj-attotree	31	158	unitig	3941469	4547240	4016438
ngono-spneumo	nj-attotree	31	16	kmer	14944055	28016946	15932782
ngono-spneumo	nj-attotree	31	16	uniqrow	712435	1053246	777174
ngono-spneumo	nj-attotree	31	16	unitig	959222	1564993	1034132
ngono-spneumo	nj-attotree	31	1	kmer	0	13072891	0
ngono-spneumo	nj-attotree	31	1	uniqrow	0	340811	0
ngono-spneumo	nj-attotree	31	1	unitig	0	605771	0
ngono-spneumo	nj-attotree	31	251	kmer	69623444	82696335	70741894
ngono-spneumo	nj-attotree	31	251	uniqrow	4148328	4489139	4215376
ngono-spneumo	nj-attotree	31	251	unitig	5037932	5643703	5118922
ngono-spneumo	nj-attotree	31	25	kmer	19064846	32137737	20107920
ngono-spneumo	nj-attotree	31	25	uniqrow	975450	1316261	1044712
ngono-spneumo	nj-attotree	31	25	unitig	1267867	1873638	1349030
ngono-spneumo	nj-attotree	31	2	kmer	1612165	14685056	3224330
ngono-spneumo	nj-attotree	31	2	uniqrow	82425	423236	164850
ngono-spneumo	nj-attotree	31	2	unitig	107667	713438	215334
ngono-spneumo	nj-attotree	31	398	kmer	84109537	97182428	84137964
ngono-spneumo	nj-attotree	31	398	uniqrow	5100408	5441219	5104026
ngono-spneumo	nj-attotree	31	398	unitig	6169416	6775187	6173550
ngono-spneumo	nj-attotree	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	nj-attotree	31	3	uniqrow	220365	561176	382452
ngono-spneumo	nj-attotree	31	3	unitig	330879	936650	574392
ngono-spneumo	nj-attotree	31	40	kmer	24970383	38043274	25893374
ngono-spneumo	nj-attotree	31	40	uniqrow	1342839	1683650	1404310
