dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	nj-attotree	23	1000	unitig	9285625	9907822	9286200
ngono-spneumo	nj-attotree	25	1000	kmer	110843184	122661678	110847880
ngono-spneumo	nj-attotree	25	1000	uniqrow	7563416	7890704	7563912
ngono-spneumo	nj-attotree	25	1000	unitig	9339410	9954832	9340008
ngono-spneumo	nj-attotree	27	1000	kmer	115170485	127410321	115175530
ngono-spneumo	nj-attotree	27	1000	uniqrow	7616534	7945214	7617042
ngono-spneumo	nj-attotree	27	1000	unitig	9322488	9930080	9323104
ngono-spneumo	nj-attotree	29	1000	kmer	119378402	132035950	119383796
ngono-spneumo	nj-attotree	29	1000	uniqrow	7843568	8180898	7844090
ngono-spneumo	nj-attotree	29	1000	unitig	9502422	10112475	9503052
ngono-spneumo	nj-attotree	31	1000	kmer	123501239	136574130	123506980
ngono-spneumo	nj-attotree	31	1000	uniqrow	7952643	8293454	7953200
ngono-spneumo	nj-attotree	31	1000	unitig	9546324	10152095	9546990
ngono-spneumo	nj-hamming	11	1000	kmer	19160287	20959636	19162760
ngono-spneumo	nj-hamming	11	1000	uniqrow	13411364	13995896	13414066
ngono-spneumo	nj-hamming	11	1000	unitig	19033576	20819111	19036012
ngono-spneumo	nj-hamming	13	1000	kmer	66219225	73108893	66225120
ngono-spneumo	nj-hamming	13	1000	uniqrow	17430369	18235691	17433978
ngono-spneumo	nj-hamming	13	1000	unitig	46954238	51637795	46963556
ngono-spneumo	nj-hamming	15	1000	kmer	83415799	92732193	83427014
ngono-spneumo	nj-hamming	15	1000	uniqrow	8193015	8577941	8195528
ngono-spneumo	nj-hamming	15	1000	unitig	19374068	21225344	19378676
ngono-spneumo	nj-hamming	17	1000	kmer	89538853	99583215	89610060
ngono-spneumo	nj-hamming	17	1000	uniqrow	6802428	7115421	6803888
ngono-spneumo	nj-hamming	17	1000	unitig	10095300	10893880	10095860
ngono-spneumo	nj-hamming	19	1000	kmer	94173565	104695770	94184006
ngono-spneumo	nj-hamming	19	1000	uniqrow	6811146	7121546	6812858
ngono-spneumo	nj-hamming	19	1000	unitig	8976778	9632296	8978690
ngono-spneumo	nj-hamming	21	1000	kmer	98913349	109877591	98940140
ngono-spneumo	nj-hamming	21	1000	uniqrow	6864783	7176639	6866552
ngono-spneumo	nj-hamming	21	1000	unitig	8812734	9439340	8814488
ngono-spneumo	nj-hamming	23	1000	kmer	103157327	114551173	103176238
ngono-spneumo	nj-hamming	23	1000	uniqrow	7124210	7446006	7125740
ngono-spneumo	nj-hamming	23	1000	unitig	8982129	9604326	8983882
ngono-spneumo	nj-hamming	25	1000	kmer	107525616	119344110	107555522
ngono-spneumo	nj-hamming	25	1000	uniqrow	7274102	7601390	7275952
ngono-spneumo	nj-hamming	25	1000	unitig	9023989	9639411	9026240
ngono-spneumo	nj-hamming	27	1000	kmer	111405780	123645616	111419080
ngono-spneumo	nj-hamming	27	1000	uniqrow	7326451	7655131	7328310
ngono-spneumo	nj-hamming	27	1000	unitig	9003728	9611320	9005796
ngono-spneumo	nj-hamming	29	1000	kmer	115518975	128176523	115551856
ngono-spneumo	nj-hamming	29	1000	uniqrow	7524093	7861423	7525688
