dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	upgma-hamming	28	1000	kmer	6312896076	9282975328	6328597184
diverse	upgma-hamming	28	1000	uniqrow	19106145	21138211	19189570
diverse	upgma-hamming	28	1000	unitig	139123441	180630547	139799358
diverse	upgma-hamming	29	1000	kmer	6327894552	9311777824	6343598194
diverse	upgma-hamming	29	1000	uniqrow	17967842	19883031	18046488
diverse	upgma-hamming	29	1000	unitig	133597569	173373082	134250754
diverse	upgma-hamming	30	1000	kmer	6342890931	9340070307	6358596922
diverse	upgma-hamming	30	1000	uniqrow	13890918	15390776	13941820
diverse	upgma-hamming	30	1000	unitig	118837507	155549031	119424072
diverse	upgma-hamming	31	1000	kmer	6359465676	9368533419	6375173700
diverse	upgma-hamming	31	1000	uniqrow	13235816	14687019	13286538
diverse	upgma-hamming	31	1000	unitig	112246310	146606429	112821136
diverse	upgma-hamming	6	1000	kmer	59	2139	66
diverse	upgma-hamming	6	1000	uniqrow	47	67	50
diverse	upgma-hamming	6	1000	unitig	59	2139	66
diverse	upgma-hamming	7	1000	kmer	6785	14977	7018
diverse	upgma-hamming	7	1000	uniqrow	4907	5540	5040
diverse	upgma-hamming	7	1000	unitig	6785	14977	7018
diverse	upgma-hamming	8	1000	kmer	304686	337582	309604
diverse	upgma-hamming	8	1000	uniqrow	271074	285623	275010
diverse	upgma-hamming	8	1000	unitig	304686	337582	309604
diverse	worst	10	1000	kmer	169102275	169627075	169118542
diverse	worst	10	1000	uniqrow	169101321	169625727	169117588
diverse	worst	10	1000	unitig	169102155	169626955	169118422
diverse	worst	12	1000	kmer	3454134954	3462525610	3455701328
diverse	worst	12	1000	uniqrow	3454134002	3462524642	3455700376
diverse	worst	12	1000	unitig	3454133736	3462524392	3455700110
diverse	worst	13	1000	kmer	5691430893	5724982914	5691998624
diverse	worst	13	1000	uniqrow	5691396248	5724937321	5691963960
diverse	worst	13	1000	unitig	5691430355	5724982374	5691998086
diverse	worst	14	1000	kmer	7068973113	7201891482	7069557978
diverse	worst	14	1000	uniqrow	7038465840	7164106336	7039049378
diverse	worst	14	1000	unitig	7068936859	7201843002	7069521722
diverse	worst	15	1000	kmer	7754970026	8218649485	7755560974
diverse	worst	15	1000	uniqrow	6926199602	7199999515	6926737892
diverse	worst	15	1000	unitig	7744110518	8204334157	7744700740
diverse	worst	17	1000	kmer	8184329846	9995997290	8184923704
diverse	worst	17	1000	uniqrow	2389748362	2535200669	2389911542
diverse	worst	17	1000	unitig	6486712230	7721177205	6487175484
diverse	worst	19	1000	kmer	8258312010	10840839875	8258906452
diverse	worst	19	1000	uniqrow	474636370	506041917	474650130
diverse	worst	19	1000	unitig	2494764976	3074045820	2494928494
diverse	worst	20	1000	kmer	8268888479	10997943033	8269483054
diverse	worst	20	1000	uniqrow	243180469	258438400	243186528
diverse	worst	20	1000	unitig	1418298053	1742767278	1418357788
diverse	worst	22	1000	kmer	8278973446	11128344736	8279568216
diverse	worst	22	1000	uniqrow	101458574	107036723	101460620
diverse	worst	22	1000	unitig	550105490	658349705	550117502
diverse	worst	23	1000	kmer	8282124136	11160878245	8282718986
