dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono	nj-hamming	11	1000	unitig	5142425	6157210	5143538
ngono	nj-hamming	13	1000	kmer	18735508	21268312	18748058
ngono	nj-hamming	13	1000	uniqrow	3016922	3112720	3021024
ngono	nj-hamming	13	1000	unitig	8632749	9848532	8635758
ngono	nj-hamming	15	1000	kmer	24877084	27945781	24887804
ngono	nj-hamming	15	1000	uniqrow	2776191	2859060	2779666
ngono	nj-hamming	15	1000	unitig	4741669	5177364	4745072
ngono	nj-hamming	17	1000	kmer	27559613	30816611	27571296
ngono	nj-hamming	17	1000	uniqrow	2813982	2896556	2815970
ngono	nj-hamming	17	1000	unitig	3594927	3814946	3597492
ngono	nj-hamming	19	1000	kmer	29778598	33171091	29787760
ngono	nj-hamming	19	1000	uniqrow	2902075	2986955	2904528
ngono	nj-hamming	19	1000	unitig	3503278	3692381	3505290
ngono	nj-hamming	21	1000	kmer	31598479	35115896	31632738
ngono	nj-hamming	21	1000	uniqrow	2974857	3061743	2977384
ngono	nj-hamming	21	1000	unitig	3534262	3715560	3536892
ngono	nj-hamming	23	1000	kmer	33751988	37390124	33788396
ngono	nj-hamming	23	1000	uniqrow	3054357	3143876	3058232
ngono	nj-hamming	23	1000	unitig	3614499	3793699	3616350
ngono	nj-hamming	25	1000	kmer	35687252	39445003	35725732
ngono	nj-hamming	25	1000	uniqrow	3149337	3241256	3152696
ngono	nj-hamming	25	1000	unitig	3698214	3876832	3700352
ngono	nj-hamming	27	1000	kmer	37499319	41376613	37527738
ngono	nj-hamming	27	1000	uniqrow	3219367	3313239	3221112
ngono	nj-hamming	27	1000	unitig	3749630	3928313	3751128
ngono	nj-hamming	29	1000	kmer	39585297	43582204	39615244
ngono	nj-hamming	29	1000	uniqrow	3298048	3394348	3299804
ngono	nj-hamming	29	1000	unitig	3822199	4001845	3825878
ngono	nj-hamming	31	1000	kmer	41355705	45472768	41388862
ngono	nj-hamming	31	1000	uniqrow	3385119	3483908	3386910
ngono	nj-hamming	31	1000	unitig	3905442	4085984	3909280
ngono	optimal	11	1000	kmer	5158678	6260094	5220392
ngono	optimal	11	1000	uniqrow	1942739	2021470	1963906
ngono	optimal	11	1000	unitig	4528130	5542915	4581834
ngono	optimal	13	1000	kmer	16516078	19048882	16762464
ngono	optimal	13	1000	uniqrow	2715387	2811185	2740112
ngono	optimal	13	1000	unitig	7710390	8926173	7817732
ngono	optimal	15	1000	kmer	22007666	25076363	22338920
ngono	optimal	15	1000	uniqrow	2522422	2605291	2543180
ngono	optimal	15	1000	unitig	4244589	4680284	4289672
ngono	optimal	17	1000	kmer	24505118	27762116	24865484
ngono	optimal	17	1000	uniqrow	2563325	2645899	2583802
ngono	optimal	17	1000	unitig	3241677	3461696	3270514
ngono	optimal	19	1000	kmer	26497963	29890456	26880308
ngono	optimal	19	1000	uniqrow	2646862	2731742	2667784
ngono	optimal	19	1000	unitig	3174913	3364016	3201870
ngono	optimal	21	1000	kmer	28382274	31899691	28785224
ngono	optimal	21	1000	uniqrow	2711612	2798498	2732960
ngono	optimal	21	1000	unitig	3207537	3388835	3234390
ngono	optimal	23	1000	kmer	30194873	33833009	30617538
ngono	optimal	23	1000	uniqrow	2796487	2886006	2818432
ngono	optimal	23	1000	unitig	3280685	3459885	3307900
ngono	optimal	25	1000	kmer	31967704	35725455	32409608
ngono	optimal	25	1000	uniqrow	2878652	2970571	2901144
ngono	optimal	25	1000	unitig	3359453	3538071	3387088
ngono	optimal	27	1000	kmer	33708567	37585861	34169368
ngono	optimal	27	1000	uniqrow	2941344	3035216	2964244
ngono	optimal	27	1000	unitig	3422356	3601039	3450328
ngono	optimal	29	1000	kmer	35421299	39418206	35900680
ngono	optimal	29	1000	uniqrow	3015610	3111910	3039006
ngono	optimal	29	1000	unitig	3497346	3676992	3525774
ngono	optimal	31	1000	kmer	37117219	41234282	37614932
ngono	optimal	31	1000	uniqrow	3095976	3194765	3119838
ngono	optimal	31	1000	unitig	3574498	3755040	3603362
ngono	randomized	11	1000	kmer	43887489	44988905	43962846
ngono	randomized	11	1000	uniqrow	13512056	13590787	13531390
ngono	randomized	11	1000	unitig	38052129	39066914	38116956
ngono	randomized	13	1000	kmer	133580545	136113349	133797708
ngono	randomized	13	1000	uniqrow	16807137	16902935	16829132
ngono	randomized	13	1000	unitig	57477094	58692877	57565350
ngono	randomized	15	1000	kmer	174114834	177183531	174389218
ngono	randomized	15	1000	uniqrow	14651159	14734028	14669690
ngono	randomized	15	1000	unitig	27289281	27724976	27327142
ngono	randomized	17	1000	kmer	191769617	195026615	192066316
ngono	randomized	17	1000	uniqrow	14681183	14763757	14699576
ngono	randomized	17	1000	unitig	19049185	19269204	19074464
ngono	randomized	19	1000	kmer	205660218	209052711	205973932
ngono	randomized	19	1000	uniqrow	15091504	15176384	15110356
ngono	randomized	19	1000	unitig	18226303	18415406	18250164
ngono	randomized	21	1000	kmer	218767771	222285188	219097494
ngono	randomized	21	1000	uniqrow	15438380	15525266	15457708
ngono	randomized	21	1000	unitig	18293178	18474476	18317068
ngono	randomized	23	1000	kmer	231332368	234970504	231677490
ngono	randomized	23	1000	uniqrow	15921614	16011133	15941512
ngono	randomized	23	1000	unitig	18651518	18830718	18675746
ngono	randomized	25	1000	kmer	243587909	247345660	243948058
ngono	randomized	25	1000	uniqrow	16357143	16449062	16377494
ngono	randomized	25	1000	unitig	19019271	19197889	19043852
ngono	randomized	27	1000	kmer	255617984	259495278	255992918
ngono	randomized	27	1000	uniqrow	16688875	16782747	16709628
ngono	randomized	27	1000	unitig	19302107	19480790	19326952
ngono	randomized	29	1000	kmer	267411130	271408037	267800488
ngono	randomized	29	1000	uniqrow	17081527	17177827	17102768
ngono	randomized	29	1000	unitig	19671790	19851436	19697046
ngono	randomized	31	1000	kmer	279057845	283174908	279461418
ngono	randomized	31	1000	uniqrow	17495277	17594066	17516998
ngono	randomized	31	1000	unitig	20043254	20223796	20068854
ngono	upgma-attotree	11	1000	kmer	6352490	7453906	6410436
ngono	upgma-attotree	11	1000	uniqrow	2249947	2328678	2268026
ngono	upgma-attotree	11	1000	unitig	5549245	6564030	5599854
ngono	upgma-attotree	13	1000	kmer	19783769	22316573	19969208
ngono	upgma-attotree	13	1000	uniqrow	3122948	3218746	3145954
ngono	upgma-attotree	13	1000	unitig	9052438	10268221	9133832
ngono	upgma-attotree	15	1000	kmer	26037465	29106162	26282330
